pokedex_number,name,primary_type,secondary_type,total,average,hp,attack,defense,sp_atk,sp_def,speed,generation,legendary,catch_rate,egg_group_1,egg_group_2,proportion_of_grass_moves,proportion_of_fire_moves,proportion_of_water_moves,proportion_of_bug_moves,proportion_of_normal_moves,proportion_of_dark_moves,proportion_of_poison_moves,proportion_of_electric_moves,proportion_of_ground_moves,proportion_of_ice_moves,proportion_of_fairy_moves,proportion_of_steel_moves,proportion_of_fighting_moves,proportion_of_psychic_moves,proportion_of_rock_moves,proportion_of_ghost_moves,proportion_of_dragon_moves,proportion_of_flying_moves,sum_moves
88,Grimer,Poison,,325,54.17,80,80,50,40,50,25,1,False,190,Amorphous,,0.0,0.0,0.0,0.0,31.25,12.5,50.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
88,Grimer Alolan Grimer,Poison,Dark,325,54.17,80,80,50,40,50,25,7,False,190,Amorphous,,0.0,0.0,0.0,0.0,31.25,31.25,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
89,Muk,Poison,,500,83.33,105,105,75,65,100,50,1,False,75,Amorphous,,0.0,0.0,0.0,0.0,29.41,11.76,52.94,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
89,Muk Alolan Muk,Poison,Dark,500,83.33,105,105,75,65,100,50,7,False,75,Amorphous,,0.0,0.0,0.0,0.0,29.41,29.41,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
90,Shellder,Water,,305,50.83,30,65,100,45,25,40,1,False,190,Water 3,,0.0,0.0,35.71,0.0,35.71,0.0,0.0,0.0,0.0,21.43,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,14.0
91,Cloyster,Water,Ice,525,87.5,50,95,180,85,45,70,1,False,60,Water 3,,0.0,0.0,27.78,0.0,27.78,0.0,5.56,0.0,5.56,27.78,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,18.0
92,Gastly,Ghost,Poison,310,51.67,30,35,30,100,35,80,1,False,190,Amorphous,,0.0,0.0,0.0,0.0,7.14,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,57.14,0.0,0.0,14.0
93,Haunter,Ghost,Poison,405,67.5,45,50,45,115,55,95,1,False,90,Amorphous,,0.0,0.0,0.0,0.0,6.67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,60.0,0.0,0.0,15.0
94,Gengar,Ghost,Poison,500,83.33,60,65,60,130,75,110,1,False,45,Amorphous,,0.0,0.0,0.0,0.0,17.65,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,52.94,0.0,0.0,17.0
95,Onix,Rock,Ground,385,64.17,35,45,160,30,45,70,1,False,45,Mineral,,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,11.11,0.0,0.0,5.56,0.0,0.0,38.89,5.56,5.56,0.0,18.0
96,Drowzee,Psychic,,328,54.67,60,48,45,43,90,42,1,False,190,Human-Like,,0.0,0.0,0.0,0.0,40.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,46.67,0.0,0.0,0.0,0.0,15.0
97,Hypno,Psychic,,483,80.5,85,73,70,73,115,67,1,False,75,Human-Like,,0.0,0.0,0.0,0.0,37.5,12.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,16.0
98,Krabby,Water,,325,54.17,30,105,90,25,25,50,1,False,225,Water 3,,0.0,0.0,28.57,0.0,57.14,0.0,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,14.0
99,Kingler,Water,,475,79.17,55,130,115,50,50,75,1,False,60,Water 3,,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,6.25,0.0,0.0,6.25,6.25,0.0,6.25,0.0,0.0,0.0,16.0
100,Voltorb,Electric,,330,55.0,40,30,50,55,55,100,1,False,190,Mineral,,0.0,0.0,0.0,0.0,29.41,0.0,0.0,47.06,0.0,0.0,0.0,5.88,0.0,11.76,5.88,0.0,0.0,0.0,17.0
100,Voltorb Hisuian Voltorb,Electric,Grass,330,55.0,40,30,50,55,55,100,8,False,190,Mineral,,25.0,0.0,0.0,0.0,12.5,0.0,0.0,37.5,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,8.0
101,Electrode,Electric,,490,81.67,60,50,70,80,80,150,1,False,60,Mineral,,0.0,0.0,0.0,0.0,27.78,0.0,0.0,50.0,0.0,0.0,0.0,5.56,0.0,11.11,5.56,0.0,0.0,0.0,18.0
101,Electrode Hisuian Electrode,Electric,Grass,490,81.67,60,50,70,80,80,150,8,False,60,Mineral,,20.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
102,Exeggcute,Grass,Psychic,325,54.17,60,40,80,60,45,40,1,False,90,Grass,,61.54,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77,0.0,0.0,0.0,0.0,13.0
103,Exeggutor,Grass,Psychic,530,88.33,95,95,85,125,75,55,1,False,45,Grass,,61.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,0.0,0.0,18.0
103,Exeggutor Alolan Exeggutor,Grass,Dragon,530,88.33,95,105,85,125,75,45,7,False,45,Grass,,61.11,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,5.56,0.0,18.0
104,Cubone,Ground,,320,53.33,50,50,95,40,50,35,1,False,190,Monster,,0.0,0.0,0.0,0.0,64.29,7.14,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
105,Marowak,Ground,,425,70.83,60,80,110,50,80,45,1,False,75,Monster,,0.0,0.0,0.0,0.0,64.29,7.14,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
105,Marowak Alolan Marowak,Fire,Ghost,425,70.83,60,80,110,50,80,45,7,False,75,Monster,,0.0,21.05,0.0,0.0,47.37,5.26,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,19.0
106,Hitmonlee,Fighting,,455,75.83,50,120,53,35,110,87,1,False,45,Human-Like,,0.0,5.56,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,5.56,0.0,0.0,0.0,18.0
107,Hitmonchan,Fighting,,455,75.83,50,105,79,35,110,76,1,False,45,Human-Like,,0.0,4.76,0.0,0.0,28.57,0.0,0.0,4.76,0.0,4.76,0.0,4.76,47.62,4.76,0.0,0.0,0.0,0.0,21.0
108,Lickitung,Normal,,385,64.17,90,55,75,60,75,30,1,False,45,Monster,,8.33,0.0,0.0,0.0,66.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,12.0
109,Koffing,Poison,,340,56.67,40,65,95,60,45,35,1,False,190,Amorphous,,0.0,0.0,0.0,0.0,26.67,13.33,46.67,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,15.0
110,Weezing,Poison,,490,81.67,65,90,120,85,70,60,1,False,60,Amorphous,,0.0,5.88,0.0,0.0,29.41,11.76,41.18,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,17.0
110,Weezing Galarian Weezing,Poison,Fairy,490,81.67,65,90,120,85,70,60,8,False,60,Amorphous,,4.35,4.35,0.0,0.0,21.74,8.7,30.43,0.0,0.0,4.35,17.39,0.0,0.0,0.0,0.0,4.35,0.0,4.35,23.0
111,Rhyhorn,Ground,Rock,345,57.5,80,85,95,30,30,25,1,False,120,Monster,Field,0.0,0.0,0.0,7.14,50.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,14.0
112,Rhydon,Ground,Rock,485,80.83,105,130,120,45,45,40,1,False,60,Monster,Field,0.0,0.0,0.0,6.67,46.67,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.67,0.0,20.0,0.0,0.0,0.0,15.0
113,Chansey,Normal,,450,75.0,250,5,5,35,105,50,1,False,30,Fairy,,0.0,0.0,4.76,0.0,61.9,4.76,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,21.0
114,Tangela,Grass,,435,72.5,65,55,115,100,40,60,1,False,45,Grass,,56.25,0.0,0.0,0.0,25.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,16.0
115,Kangaskhan,Normal,,490,81.67,105,95,80,40,80,90,1,False,45,Monster,,0.0,0.0,0.0,0.0,66.67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,6.67,0.0,15.0
116,Horsea,Water,,295,49.17,30,40,70,70,25,60,1,False,225,Water 1,Dragon,0.0,0.0,30.77,0.0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,30.77,0.0,13.0
117,Seadra,Water,,440,73.33,55,65,95,95,45,85,1,False,75,Water 1,Dragon,0.0,0.0,30.77,0.0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,30.77,0.0,13.0
118,Goldeen,Water,,320,53.33,45,67,60,35,50,63,1,False,225,Water 2,,0.0,0.0,33.33,8.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33,12.0
119,Seaking,Water,,450,75.0,80,92,65,65,80,68,1,False,60,Water 2,,0.0,0.0,33.33,8.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33,12.0
120,Staryu,Water,,340,56.67,30,45,55,70,55,85,1,False,225,Water 3,,0.0,0.0,25.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.25,6.25,0.0,0.0,16.0
121,Starmie,Water,Psychic,520,86.67,60,75,85,100,85,115,1,False,60,Water 3,,0.0,0.0,25.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.25,6.25,0.0,0.0,16.0
122,Mr. Mime,Psychic,Fairy,460,76.67,40,45,65,100,120,90,1,False,45,Human-Like,,0.0,0.0,0.0,0.0,42.86,4.76,0.0,0.0,0.0,0.0,4.76,0.0,4.76,38.1,4.76,0.0,0.0,0.0,21.0
122,Mr. Mime Galarian Mr. Mime,Ice,Psychic,460,76.67,50,65,65,90,90,100,8,False,45,Human-Like,,0.0,0.0,0.0,0.0,38.46,3.85,0.0,0.0,0.0,11.54,7.69,0.0,3.85,34.62,0.0,0.0,0.0,0.0,26.0
123,Scyther,Bug,Flying,500,83.33,70,110,80,55,80,105,1,False,45,Bug,,0.0,0.0,0.0,14.29,64.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,14.29,14.0
124,Jynx,Ice,Psychic,455,75.83,65,50,35,115,95,95,1,False,45,Human-Like,,0.0,0.0,0.0,0.0,46.67,6.67,0.0,0.0,0.0,20.0,6.67,0.0,0.0,13.33,0.0,6.67,0.0,0.0,15.0
125,Electabuzz,Electric,,490,81.67,65,83,57,95,85,105,1,False,45,Human-Like,,0.0,0.0,0.0,0.0,33.33,0.0,0.0,53.33,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,15.0
126,Magmar,Fire,,495,82.5,65,95,57,100,85,93,1,False,45,Human-Like,,0.0,46.67,0.0,0.0,26.67,0.0,13.33,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,6.67,0.0,0.0,15.0
127,Pinsir,Bug,,500,83.33,65,125,100,55,70,85,1,False,45,Bug,,0.0,0.0,0.0,13.33,53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,15.0
128,Tauros,Normal,,490,81.67,75,100,95,40,70,110,1,False,45,Field,,0.0,0.0,0.0,0.0,71.43,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.0
129,Magikarp,Water,,200,33.33,20,10,55,15,20,80,1,False,255,Water 2,Dragon,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
130,Gyarados,Water,Flying,540,90.0,95,125,79,60,100,81,1,False,45,Water 2,Dragon,0.0,0.0,31.58,0.0,36.84,10.53,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,19.0
131,Lapras,Water,Ice,535,89.17,130,85,80,85,95,60,1,False,45,Monster,Water 1,0.0,0.0,40.0,0.0,26.67,0.0,0.0,0.0,0.0,26.67,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,15.0
132,Ditto,Normal,,288,48.0,48,48,48,48,48,48,1,False,35,Ditto,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,Eevee,Normal,,325,54.17,55,55,50,45,65,55,1,False,45,Field,,0.0,0.0,0.0,0.0,75.0,6.25,0.0,0.0,6.25,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
134,Vaporeon,Water,,525,87.5,130,65,60,110,95,65,1,False,45,Field,,0.0,0.0,20.83,0.0,50.0,4.17,4.17,0.0,4.17,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
135,Jolteon,Electric,,525,87.5,65,65,60,110,95,130,1,False,45,Field,,0.0,0.0,0.0,4.17,50.0,4.17,0.0,20.83,4.17,0.0,8.33,0.0,4.17,4.17,0.0,0.0,0.0,0.0,24.0
136,Flareon,Fire,,525,87.5,65,130,60,95,110,65,1,False,45,Field,,0.0,21.74,0.0,0.0,56.52,4.35,4.35,0.0,4.35,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
137,Porygon,Normal,,395,65.83,65,60,70,85,75,40,1,False,45,Mineral,,0.0,0.0,0.0,0.0,50.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,0.0,14.0
138,Omanyte,Rock,Water,355,59.17,35,40,100,90,55,35,1,False,45,Water 1,Water 3,0.0,0.0,35.71,0.0,28.57,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,14.0
139,Omastar,Rock,Water,495,82.5,70,60,125,115,70,55,1,False,45,Water 1,Water 3,0.0,0.0,33.33,0.0,26.67,6.67,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,15.0
140,Kabuto,Rock,Water,355,59.17,30,80,90,55,45,55,1,False,45,Water 1,Water 3,7.14,0.0,21.43,7.14,28.57,0.0,0.0,0.0,14.29,0.0,0.0,7.14,0.0,0.0,14.29,0.0,0.0,0.0,14.0
141,Kabutops,Rock,Water,495,82.5,60,115,105,65,70,80,1,False,45,Water 1,Water 3,5.88,0.0,17.65,5.88,35.29,5.88,0.0,0.0,11.76,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,17.0
142,Aerodactyl,Rock,Flying,515,85.83,80,105,65,60,75,130,1,False,45,Flying,,0.0,0.0,0.0,0.0,42.86,14.29,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,21.43,0.0,0.0,7.14,14.0
143,Snorlax,Normal,,540,90.0,160,110,65,65,110,30,1,False,25,Monster,,0.0,0.0,0.0,0.0,62.96,11.11,3.7,0.0,3.7,0.0,0.0,3.7,3.7,7.41,0.0,3.7,0.0,0.0,27.0
144,Articuno,Ice,Flying,580,96.67,90,85,100,95,125,85,1,True,3,,,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,12.5,6.25,0.0,0.0,25.0,16.0
144,Articuno Galarian Articuno,Psychic,Flying,580,96.67,90,85,85,125,100,95,8,True,3,,,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,6.25,0.0,0.0,18.75,16.0
145,Zapdos,Electric,Flying,580,96.67,90,90,85,125,90,100,1,True,3,,,0.0,0.0,6.25,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,6.25,12.5,6.25,0.0,0.0,25.0,16.0
145,Zapdos Galarian Zapdos,Fighting,Flying,580,96.67,90,125,90,85,90,100,8,True,3,,,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,12.5,6.25,0.0,0.0,18.75,16.0
146,Moltres,Fire,Flying,580,96.67,90,100,90,125,85,90,1,True,3,,,0.0,31.25,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,37.5,16.0
146,Moltres Galarian Moltres,Dark,Flying,580,96.67,90,85,90,100,125,90,8,True,3,,,0.0,0.0,0.0,0.0,25.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,31.25,16.0
147,Dratini,Dragon,,300,50.0,41,64,45,50,50,50,1,False,45,Water 1,Dragon,0.0,0.0,14.29,0.0,35.71,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,35.71,0.0,14.0
148,Dragonair,Dragon,,420,70.0,61,84,65,70,70,70,1,False,45,Water 1,Dragon,0.0,0.0,14.29,0.0,35.71,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,35.71,0.0,14.0
149,Dragonite,Dragon,Flying,600,100.0,91,134,95,100,100,80,1,False,45,Water 1,Dragon,0.0,5.0,10.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,15.0,20.0
150,Mewtwo,Psychic,,680,113.33,106,110,90,154,90,130,1,True,3,,,0.0,0.0,5.88,0.0,29.41,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,47.06,5.88,0.0,0.0,0.0,17.0
151,Mew,Psychic,,600,100.0,100,100,100,100,100,100,1,True,45,,,0.0,0.0,8.33,0.0,41.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,25.0,8.33,0.0,0.0,0.0,12.0
152,Chikorita,Grass,,318,53.0,45,49,65,49,65,45,2,False,45,Monster,Grass,35.71,0.0,0.0,0.0,42.86,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.0
153,Bayleef,Grass,,405,67.5,60,62,80,63,80,60,2,False,45,Monster,Grass,35.71,0.0,0.0,0.0,42.86,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.0
154,Meganium,Grass,,525,87.5,80,82,100,83,100,80,2,False,45,Monster,Grass,43.75,0.0,0.0,0.0,37.5,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,16.0
155,Cyndaquil,Fire,,309,51.5,39,52,43,60,50,65,2,False,45,Field,,0.0,50.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,16.0
156,Quilava,Fire,,405,67.5,58,64,58,80,65,80,2,False,45,Field,,0.0,50.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,16.0
157,Typhlosion,Fire,,534,89.0,78,84,78,109,85,100,2,False,45,Field,,0.0,47.06,0.0,0.0,41.18,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0,17.0
157,Typhlosion Hisuian Typhlosion,Fire,Ghost,534,89.0,73,84,78,119,85,95,8,False,45,Field,,0.0,15.79,0.0,0.0,15.79,0.0,0.0,10.53,5.26,0.0,0.0,5.26,10.53,10.53,5.26,15.79,0.0,5.26,19.0
158,Totodile,Water,,314,52.33,50,65,64,44,48,43,2,False,45,Monster,Water 1,0.0,0.0,18.75,0.0,43.75,12.5,0.0,0.0,6.25,6.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.0
159,Croconaw,Water,,405,67.5,65,80,80,59,63,58,2,False,45,Monster,Water 1,0.0,0.0,18.75,0.0,43.75,12.5,0.0,0.0,6.25,6.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.0
160,Feraligatr,Water,,530,88.33,85,105,100,79,83,78,2,False,45,Monster,Water 1,0.0,0.0,17.65,0.0,41.18,11.76,0.0,0.0,5.88,5.88,0.0,0.0,11.76,5.88,0.0,0.0,0.0,0.0,17.0
161,Sentret,Normal,,215,35.83,35,46,34,35,45,20,2,False,255,Field,,0.0,0.0,0.0,0.0,71.43,7.14,0.0,0.0,0.0,0.0,0.0,0.0,7.14,14.29,0.0,0.0,0.0,0.0,14.0
162,Furret,Normal,,415,69.17,85,76,64,45,55,90,2,False,90,Field,,0.0,0.0,0.0,0.0,62.5,6.25,6.25,0.0,0.0,0.0,0.0,0.0,6.25,18.75,0.0,0.0,0.0,0.0,16.0
163,Hoothoot,Normal,Flying,262,43.67,60,30,30,36,56,50,2,False,255,Flying,,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,40.0,0.0,0.0,0.0,20.0,15.0
164,Noctowl,Normal,Flying,452,75.33,100,50,50,86,96,70,2,False,90,Flying,,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,37.5,0.0,0.0,0.0,25.0,16.0
165,Ledyba,Bug,Flying,265,44.17,40,20,30,40,80,55,2,False,255,Bug,,0.0,0.0,0.0,14.29,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,21.43,0.0,0.0,0.0,14.29,14.0
166,Ledian,Bug,Flying,390,65.0,55,35,50,55,110,85,2,False,90,Bug,,0.0,0.0,0.0,14.29,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,21.43,0.0,0.0,0.0,14.29,14.0
167,Spinarak,Bug,Poison,250,41.67,40,60,40,40,40,30,2,False,255,Bug,,5.88,0.0,0.0,29.41,11.76,5.88,23.53,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,0.0,0.0,17.0
168,Ariados,Bug,Poison,400,66.67,70,90,70,60,70,40,2,False,90,Bug,,4.55,0.0,0.0,31.82,18.18,4.55,22.73,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,22.0
169,Crobat,Poison,Flying,535,89.17,85,90,80,70,80,130,2,False,90,Flying,,5.88,0.0,0.0,5.88,17.65,5.88,23.53,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,11.76,0.0,17.65,17.0
170,Chinchou,Water,Electric,330,55.0,75,38,38,56,56,67,2,False,190,Water 2,,0.0,0.0,30.77,0.0,23.08,0.0,0.0,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,13.0
171,Lanturn,Water,Electric,460,76.67,125,58,58,76,76,67,2,False,75,Water 2,,0.0,0.0,23.53,0.0,35.29,0.0,0.0,35.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,17.0
172,Pichu,Electric,,205,34.17,20,40,15,35,35,60,2,False,190,,,0.0,0.0,0.0,0.0,28.57,14.29,0.0,28.57,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
173,Cleffa,Fairy,,218,36.33,50,25,28,45,55,15,2,False,150,,,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
174,Igglybuff,Normal,Fairy,210,35.0,90,30,15,40,20,15,2,False,170,,,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
175,Togepi,Fairy,,245,40.83,35,20,65,40,65,20,2,False,190,,,0.0,0.0,6.67,0.0,73.33,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,15.0
176,Togetic,Fairy,Flying,405,67.5,55,40,85,80,105,40,2,False,75,Flying,Fairy,0.0,0.0,6.25,0.0,68.75,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,16.0
177,Natu,Psychic,Flying,320,53.33,40,50,45,70,45,70,2,False,190,Flying,,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,0.0,16.67,0.0,8.33,12.0
178,Xatu,Psychic,Flying,470,78.33,65,75,70,95,70,95,2,False,75,Flying,,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,14.29,0.0,21.43,14.0
179,Mareep,Electric,,280,46.67,55,40,40,65,45,35,2,False,235,Monster,Field,13.33,0.0,0.0,0.0,20.0,0.0,0.0,46.67,0.0,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,15.0
180,Flaaffy,Electric,,365,60.83,70,55,55,80,60,45,2,False,120,Monster,Field,13.33,0.0,0.0,0.0,20.0,0.0,0.0,46.67,0.0,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,15.0
181,Ampharos,Electric,,510,85.0,90,75,85,115,90,55,2,False,45,Monster,Field,10.0,5.0,0.0,0.0,15.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,20.0
182,Bellossom,Grass,,490,81.67,75,80,95,90,100,50,2,False,45,Grass,,50.0,0.0,0.0,6.25,12.5,0.0,18.75,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
183,Marill,Water,Fairy,250,41.67,70,20,50,20,50,40,2,False,190,Water 1,Fairy,0.0,0.0,35.29,0.0,35.29,0.0,0.0,0.0,0.0,0.0,11.76,0.0,5.88,0.0,5.88,0.0,0.0,5.88,17.0
184,Azumarill,Water,Fairy,420,70.0,100,50,80,60,80,50,2,False,75,Water 1,Fairy,0.0,0.0,35.29,0.0,35.29,0.0,0.0,0.0,0.0,0.0,11.76,0.0,5.88,0.0,5.88,0.0,0.0,5.88,17.0
185,Sudowoodo,Rock,,410,68.33,70,100,115,30,65,30,2,False,65,Mineral,,5.56,0.0,0.0,0.0,38.89,11.11,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,27.78,0.0,0.0,0.0,18.0
186,Politoed,Water,,500,83.33,90,75,75,90,100,70,2,False,45,Water 1,,0.0,0.0,26.67,0.0,46.67,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,6.67,15.0
187,Hoppip,Grass,Flying,250,41.67,35,35,40,35,55,50,2,False,255,Fairy,Grass,50.0,0.0,0.0,10.0,15.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0
188,Skiploom,Grass,Flying,340,56.67,55,45,50,45,65,80,2,False,120,Fairy,Grass,50.0,0.0,0.0,10.0,15.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0
